Mercado,Selecção,Tipo de<br/>licitação,ID da Aposta,Aposta colocada,,Persistência,Probabilidades req.,Parada ($),Responsabilidade ($),Média de probabilidades correspondidas,Lucro/Prejuízo ($)
Futebol / Athletic Bilbao x Barcelona / Resultado Final,Barcelona,Contra,299528129396,12-mar-23 18:39,,M,1.15,50.00,7.50,1.15,(7.50)
Futebol / Juventus x Sampdoria / Resultado Final,Juventus,A favor,299523715178,12-mar-23 17:57,,M,2,20.00,,2,20.00
Futebol / Feyenoord x FC Volendam / Resultado Final,Feyenoord,A favor,299518195392,12-mar-23 17:10,,C,2.14,200.00,,2.14,227.99
Futebol / Feyenoord x FC Volendam / 1º tempo - Mais/Menos de 1.5 gols,"Mais de 1,5 gols",A favor,299510764166,12-mar-23 16:08,,C,2,5.00,,2,(5.00)
Futebol / Feyenoord x FC Volendam / 1º Tempo,FC Volendam,Contra,299512753210,12-mar-23 16:25,,C,2.24,10.00,12.40,2.24,(12.40)
Futebol / Feyenoord x FC Volendam / 1º Tempo,FC Volendam,Contra,299513221476,12-mar-23 16:29,,M,2,10.00,10.00,2,(10.00)
"Futebol / Roma x Sassuolo / Mais/Menos de 6,5 gols","Mais de 6,5 gols",A favor,299501460467,12-mar-23 14:53,,C,5.6,5.00,,5.65,23.22
"Futebol / Roma x Sassuolo / Mais/Menos de 6,5 gols","Menos de 6,5 gols",A favor,299504616831,12-mar-23 15:18,,C,1.56,9.05,,1.56,(9.05)
Futebol / Marítimo x Benfica / 1º Tempo,Benfica,A favor,299505422149,12-mar-23 15:24,,C,2.2,10.00,,2.26,12.60
Futebol / Marítimo x Benfica / 1º Tempo,Benfica,A favor,299506849238,12-mar-23 15:35,,C,2.74,10.00,,2.74,17.40
Futebol / Basaksehir x Besiktas / 1º Tempo,Besiktas,Contra,299483478142,12-mar-23 13:14,,C,3.9,15.00,42.75,3.85,(42.75)
Futebol / Basaksehir x Besiktas / 1º Tempo,Besiktas,A favor,299484597214,12-mar-23 13:20,,C,1.26,45.83,,1.26,11.92
Futebol / Lask Linz x Red Bull Salzburg / 1º Tempo,Red Bull Salzburg,Contra,299485954848,12-mar-23 13:26,,C,4,10.00,29.70,3.97,10.00
Futebol / Lask Linz x Red Bull Salzburg / 1º Tempo,Red Bull Salzburg,A favor,299486706520,12-mar-23 13:30,,C,4,9.91,,4.07,(9.91)
Futebol / Lask Linz x Red Bull Salzburg / 1º Tempo,Red Bull Salzburg,Contra,299486761784,12-mar-23 13:30,,C,4.6,0.14,0.49,4.5,0.14
Futebol / PSV x Cambuur Leeuwarden / 1º Tempo,PSV,A favor,299485058342,12-mar-23 13:22,,C,2.54,10.00,,2.58,(10.00)
Futebol / PSV x Cambuur Leeuwarden / 1º Tempo,PSV,A favor,299485222751,12-mar-23 13:23,,M,3,10.00,,3,(10.00)
Futebol / Sevilla x Almeria / 1º Tempo,Almeria,Contra,299480455049,12-mar-23 13:00,,M,1.19,100.00,19.00,1.19,100.00
Futebol / Manchester United x Southampton / 1º Tempo,Southampton,A favor,299461274244,12-mar-23 11:28,,C,10,10.00,,10,(10.00)
Futebol / Verona x AC Monza / 1º Tempo,Verona,A favor,299460614528,12-mar-23 11:25,,C,5,10.00,,5,(10.00)
Futebol / Holstein Kiel x Jahn Regensburg / Resultado Final,Holstein Kiel,A favor,299455858589,12-mar-23 11:06,,C,3.65,10.00,,3.65,(10.00)
Futebol / Karlsruhe x Hamburger SV / Resultado Final,Karlsruhe,Contra,299452189885,12-mar-23 10:49,,C,1.16,50.00,8.00,1.16,(8.00)
Futebol / Karlsruhe x Hamburger SV / Resultado Final,Karlsruhe,A favor,299453361323,12-mar-23 10:55,,C,1.09,53.21,,1.09,4.79
Futebol / NEC Nijmegen x FC Utrecht / 1º Tempo,NEC Nijmegen,Contra,299427827406,12-mar-23 08:30,,M,3.7,20.00,54.00,3.7,(54.00)
Futebol / NEC Nijmegen x FC Utrecht / 1º Tempo,NEC Nijmegen,A favor,299430603997,12-mar-23 08:49,,C,1.18,62.71,,1.19,11.78
Futebol / NEC Nijmegen x FC Utrecht / 1º Tempo,NEC Nijmegen,Contra,299430642058,12-mar-23 08:50,,C,1.26,0.38,0.08,1.21,(0.08)
